len_procotol2path,ip_exist,len_hostname,www_exist,TLD_exist,SLD_decimal,TLD_decimal,len_path,num_directory_max,path_exist_date,path_exist_hex,label
29,0,22,0,0,0,0,1,0,0,0,0,0
28,0,21,0,0,0,0,10,1,9,0,0,0
30,0,23,0,0,0,0,1,0,0,0,0,0
24,0,17,0,0,0,0,1,0,0,0,0,0
29,0,22,0,0,0,0,1,0,0,0,0,0
25,0,18,0,0,0,0,1,0,0,0,0,0
26,0,19,1,0,0,0,1,0,0,0,0,0
29,0,22,0,0,0,0,1,0,0,0,0,0
36,0,29,1,0,0,0,1,0,0,0,0,0
28,0,21,1,0,0,0,7,2,5,0,0,0
25,0,18,1,0,0,0,1,0,0,0,0,0
21,0,14,1,0,0,0,1,0,0,0,0,0
19,0,12,1,0,0,0,1,0,0,0,0,0
30,0,23,1,0,0,0,1,0,0,0,0,0
21,0,14,1,0,0,0,23,2,21,0,0,0
26,0,19,1,0,0,0,1,0,0,0,0,0
21,0,14,1,0,0,0,1,0,0,0,0,0
19,0,12,1,0,0,0,1,0,0,0,0,0
18,0,11,1,0,0,0,1,0,0,0,0,0
26,0,19,0,0,0,0,1,0,0,0,0,0
20,0,13,0,0,0,0,1,0,0,0,0,0
21,0,14,1,0,0,0,1,0,0,0,0,0
22,0,15,1,0,1,0,1,0,0,0,0,0
29,0,22,0,0,0,0,1,0,0,0,0,0
24,0,17,1,0,0,0,1,0,0,0,0,0
23,0,16,1,0,0,0,24,4,15,0,1,0
26,0,19,0,0,0,0,1,0,0,0,0,0
24,0,17,0,0,0,0,1,0,0,0,0,0
27,0,20,0,0,0,0,1,0,0,0,0,0
31,0,24,0,0,0,0,1,0,0,0,0,0
28,0,21,1,0,0,0,1,0,0,0,0,0
24,0,17,0,0,0,0,1,0,0,0,0,0
25,0,18,0,0,0,0,1,0,0,0,0,0
16,0,9,1,0,0,0,1,0,0,0,0,0
23,0,16,0,0,0,0,1,0,0,0,0,0
26,0,19,0,0,0,0,1,0,0,0,0,0
20,0,13,0,0,0,0,1,0,0,0,0,0
27,0,20,0,0,0,0,1,0,0,0,0,0
25,0,18,0,0,0,0,21,3,8,0,0,0
23,0,16,0,0,0,0,1,0,0,0,0,0
23,0,16,0,0,0,0,14,3,9,0,0,0
21,0,14,1,0,0,0,1,0,0,0,0,0
29,0,21,0,0,0,0,1,0,0,0,0,0
23,0,16,1,0,0,0,1,0,0,0,0,0
19,0,12,0,0,0,0,13,1,12,0,0,0
26,0,19,0,0,0,0,1,0,0,0,0,0
16,0,9,1,0,0,0,1,0,0,0,0,0
21,0,14,1,0,0,0,1,0,0,0,0,0
29,0,22,0,0,0,0,1,0,0,0,0,0
27,0,20,1,0,0,0,1,0,0,0,0,0
26,0,19,0,0,0,0,1,0,0,0,0,0
30,0,23,1,0,0,0,1,0,0,0,0,0
30,0,23,0,0,0,0,1,0,0,0,0,0
27,0,20,0,0,0,0,1,0,0,0,0,0
21,0,14,0,0,0,0,1,0,0,0,0,0
19,0,12,1,0,0,0,1,0,0,0,0,0
26,0,19,0,0,0,0,1,0,0,0,0,0
34,0,27,1,0,0,0,1,0,0,0,0,0
29,0,22,0,0,0,0,1,0,0,0,0,0
26,0,19,0,0,0,0,1,0,0,0,0,0
23,0,16,1,0,0,0,1,0,0,0,0,0
29,0,22,0,0,0,0,17,1,16,0,0,0
16,0,9,1,0,0,0,1,0,0,0,0,0
24,0,17,0,0,0,0,45,3,30,0,1,0
33,0,26,1,0,0,0,1,0,0,0,0,0
27,0,20,0,0,0,0,1,0,0,0,0,0
25,0,18,1,0,0,0,1,0,0,0,0,0
19,0,12,1,0,0,0,1,0,0,0,0,0
19,0,12,1,0,0,0,1,0,0,0,0,0
21,0,14,0,0,0,0,1,0,0,0,0,0
20,0,13,1,0,0,0,1,0,0,0,0,0
23,0,16,0,0,0,0,1,0,0,0,0,0
26,0,19,0,0,0,0,1,0,0,0,0,0
26,0,19,0,0,0,0,1,0,0,0,0,0
29,0,22,0,0,0,0,1,0,0,0,0,0
27,0,20,0,0,0,0,1,0,0,0,0,0
20,0,13,1,0,0,0,5,2,3,0,0,0
23,0,16,0,0,0,0,1,0,0,0,0,0
23,0,16,1,0,0,0,20,3,12,0,0,0
25,0,18,0,0,0,0,7,2,5,0,0,0
25,0,18,0,0,0,0,1,0,0,0,0,0
32,0,25,1,0,0,0,1,0,0,0,0,0
26,0,19,0,0,0,0,1,0,0,0,0,0
24,0,17,0,0,0,0,1,0,0,0,0,0
33,0,26,1,0,0,0,1,0,0,0,0,0
21,0,14,0,0,0,0,1,0,0,0,0,0
25,0,18,1,0,0,0,1,0,0,0,0,0
28,0,21,0,0,0,0,1,0,0,0,0,0
28,0,21,0,0,0,0,1,0,0,0,0,0
22,0,15,1,0,0,0,1,0,0,0,0,0
27,0,20,0,0,0,0,1,0,0,0,0,0
18,0,11,1,0,0,0,1,0,0,0,0,0
23,0,16,0,1,0,0,10,2,8,0,1,0
23,0,16,0,1,0,0,8,2,6,0,0,0
18,0,11,1,0,0,0,1,0,0,0,0,0
23,0,16,0,0,0,0,1,0,0,0,0,0
20,0,12,1,0,0,0,1,0,0,0,0,0
27,0,20,0,0,0,0,40,2,20,0,0,0
22,0,14,0,0,0,0,1,0,0,0,0,0
21,0,14,0,0,0,0,1,0,0,0,0,0
28,0,21,0,0,0,0,1,0,0,0,0,0
